x,y,id,s
0.29,-0.46,"0.README_1.txt",4.0
-0.24,-0.43,"0.README_2.txt",4.0
0.03,-0.37,"0.README_3.txt",4.0
1.09,-0.39,"1994Internet_1.txt",19.56
-0.50,-0.23,"a_1.txt",4.0
0.52,-0.30,"a_2.txt",4.0
0.56,-0.46,"a_3.txt",4.0
0.00,-0.15,"a_4.txt",4.0
0.68,-0.52,"a_5.txt",4.0
0.69,-0.15,"a_6.txt",4.0
0.63,0.51,"a_7.txt",4.0
0.74,0.05,"a_8.txt",4.0
-0.74,-0.21,"a_9.txt",4.0
-0.76,-0.23,"a_10.txt",4.0
0.87,-0.27,"a_11.txt",4.0
0.46,0.63,"a_12.txt",4.0
0.69,-0.08,"a_13.txt",4.0
0.70,-0.43,"a_14.txt",4.0
0.73,-0.43,"a_15.txt",4.0
-0.53,-0.31,"a_16.txt",4.0
0.72,-0.18,"a_17.txt",4.0
0.34,-0.42,"a_18.txt",4.0
0.86,-0.16,"a_19.txt",4.0
-0.68,-0.20,"a_20.txt",4.0
0.35,-0.09,"a_21.txt",4.0
-0.71,-0.24,"a_22.txt",4.0
0.83,-0.13,"a_23.txt",4.0
0.55,-0.41,"a_24.txt",4.0
0.74,0.11,"a_25.txt",4.0
0.82,-0.21,"a_26.txt",4.0
0.24,0.92,"a_27.txt",4.0
0.08,-0.26,"a_28.txt",4.0
0.86,-0.31,"a_29.txt",4.0
0.86,0.12,"a_30.txt",4.0
0.70,0.52,"a_31.txt",4.0
-0.04,0.24,"aaindices_1.txt",10.81
-0.71,-0.16,"aaindices_2.txt",4.0
1.02,-0.41,"adessay_1.txt",17.9
-0.74,-0.19,"advert_1.txt",4.0
-0.19,-0.24,"advert_2.txt",4.0
0.72,-0.15,"advert_3.txt",6.69
-0.29,-0.26,"ah_1.txt",4.0
0.21,-0.28,"ah_2.txt",4.0
0.85,-0.47,"ah_3.txt",4.0
0.83,-0.13,"ah_4.txt",4.0
0.16,0.51,"ah_5.txt",4.0
0.62,0.31,"ah_6.txt",4.0
-0.76,-0.12,"ah_7.txt",4.0
0.84,-0.51,"ah_8.txt",4.0
-0.55,-0.07,"ah_9.txt",4.0
-0.53,0.22,"ah_10.txt",4.0
0.09,0.02,"ah_11.txt",4.0
-0.67,0.00,"ah_12.txt",4.0
1.00,-0.04,"ah_13.txt",4.0
0.40,0.19,"ah_14.txt",4.0
0.82,-0.41,"ah_15.txt",4.0
0.09,-0.02,"ah_16.txt",4.0
1.00,-0.39,"ah_17.txt",4.0
-0.68,-0.20,"ah_18.txt",4.0
-0.21,1.15,"ah_19.txt",4.0
0.05,0.02,"ah_20.txt",4.0
